refYear,refMonth,reporterDesc,flowDesc,partnerDesc,classificationCode,cmdCode,cmdDesc,qty,qtyUnitAbbr,netWgt,fobvalue,primaryValue
52,2015,X,348,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,1170648.0,0
52,2015,X,360,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,2678849.0,0
52,2015,X,372,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,441643.0,0
52,2015,X,376,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,30167965.0,0
52,2015,X,380,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,97602722.0,0
52,2015,X,384,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,3370607.0,0
52,2015,X,388,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,285816.0,0
52,2015,X,392,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,690833380.0,0
52,2015,X,398,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,200.0,0
52,2015,X,400,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,7371965.0,0
52,2015,X,404,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,359256.0,0
52,2015,X,410,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,437549875.0,0
52,2015,X,414,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,10901528.0,0
52,2015,X,418,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,260676.0,0
52,2015,X,422,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,12395475.0,0
52,2015,X,428,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,1484211.0,0
52,2015,X,430,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,246.0,0
52,2015,X,434,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,1558625.0,0
52,2015,X,440,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,8409022.0,0
52,2015,X,446,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,253119.0,0
52,2015,X,450,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,320.0,0
52,2015,X,458,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,65330112.0,0
52,2015,X,466,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,58397.0,0
52,2015,X,470,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,404922.0,0
52,2015,X,480,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,3558795.0,0
52,2015,X,484,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,107095344.0,0
52,2015,X,490,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,103990185.0,0
52,2015,X,504,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,3401152.0,0
52,2015,X,512,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,2488766.0,0
52,2015,X,516,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,184401.0,0
52,2015,X,524,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,317480.0,0
52,2015,X,528,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,108422646.0,0
52,2015,X,540,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,193391.0,0
52,2015,X,554,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,13615569.0,0
52,2015,X,558,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,1109519.0,0
52,2015,X,566,0,HS,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,,False,703397.0,0
