Year,Trade_Flow,Partner,Partner_ISO,HS_Code,Commodity,Quantity_kg,Unit,Value_USD
2015,Export,Côte d'Ivoire,CIV,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,3370607.0
2015,Export,Jamaica,JAM,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,285816.0
2015,Export,Japan,JPN,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,690833380.0
2015,Export,Kazakhstan,KAZ,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,200.0
2015,Export,Jordan,JOR,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,7371965.0
2015,Export,Kenya,KEN,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,359256.0
2015,Export,Rep. of Korea,KOR,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,437549875.0
2015,Export,Kuwait,KWT,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,10901528.0
2015,Export,Lao People's Dem. Rep.,LAO,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,260676.0
2015,Export,Lebanon,LBN,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,12395475.0
2015,Export,Latvia,LVA,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,1484211.0
2015,Export,Liberia,LBR,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,246.0
2015,Export,Libya,LBY,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,1558625.0
2015,Export,Lithuania,LTU,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,8409022.0
2015,Export,"China, Macao SAR",MAC,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,253119.0
2015,Export,Madagascar,MDG,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,320.0
2015,Export,Malaysia,MYS,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,65330112.0
2015,Export,Mali,MLI,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,58397.0
2015,Export,Malta,MLT,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,404922.0
2015,Export,Mauritius,MUS,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,3558795.0
2015,Export,Mexico,MEX,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,107095344.0
2015,Export,"Other Asia, nes",S19,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,103990185.0
2015,Export,Morocco,MAR,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,3401152.0
2015,Export,Oman,OMN,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,2488766.0
