refYear,partnerISO,partnerDesc,flowDesc,cmdCode,cmdDesc,primaryValue
2013,LBY,Libya,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1661985.0
2013,LTU,Lithuania,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",21147568.0
2013,MYS,Malaysia,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",54100821.0
2013,MLT,Malta,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",804793.0
2013,MUS,Mauritius,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1954923.0
2013,MEX,Mexico,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",105154824.0
2013,S19,"Other Asia, nes",Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",127396865.0
2013,MAR,Morocco,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",4226231.0
2013,OMN,Oman,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",2119801.0
2013,NAM,Namibia,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",299510.0
2013,NPL,Nepal,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",101628.0
2013,NLD,Netherlands,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",93132593.0
2013,NCL,New Caledonia,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",349602.0
2013,VUT,Vanuatu,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",90229.0
2013,NZL,New Zealand,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",12003882.0
2013,NGA,Nigeria,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",4253418.0
2013,NOR,Norway,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",2854108.0
2013,MHL,Marshall Isds,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",344.0
2013,PAK,Pakistan,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",16231677.0
2013,PAN,Panama,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1629263.0
2013,PNG,Papua New Guinea,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",716378.0
2013,PER,Peru,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",6919944.0
2013,PHL,Philippines,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",49253531.0
2013,POL,Poland,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",22285215.0
2013,PRT,Portugal,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",27623641.0
2013,TLS,Timor-Leste,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",685305.0
2013,QAT,Qatar,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",4909109.0
2013,ROU,Romania,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",6704278.0
2013,RUS,Russian Federation,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",99352542.0
2013,SAU,Saudi Arabia,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",49344461.0
2013,IND,India,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",13965927.0
2013,SGP,Singapore,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",80329829.0
2013,SVK,Slovakia,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",841331.0
2013,SVN,Slovenia,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",2425551.0
2013,ZAF,South Africa,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1885798.0
2013,ESP,Spain,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",100539873.0
2013,SDN,Sudan,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",16950.0
2013,SWE,Sweden,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",9798669.0
2013,CHE,Switzerland,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",54472395.0
2013,SYR,Syria,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",2372810.0
2013,THA,Thailand,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",113266928.0
2013,TGO,Togo,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",50822.0
2013,TTO,Trinidad and Tobago,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",635549.0
2013,ARE,United Arab Emirates,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",43311999.0
2013,TUN,Tunisia,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1685954.0
2013,TUR,Türkiye,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",4411366.0
2013,TKM,Turkmenistan,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",68610.0
2013,UKR,Ukraine,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",40761413.0
2013,EGY,Egypt,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",54083645.0
2013,GBR,United Kingdom,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",109538243.0
2013,TZA,United Rep. of Tanzania,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",93048.0
2013,USA,USA,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",933977456.0
2013,BFA,Burkina Faso,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",120960.0
2013,URY,Uruguay,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",3899529.0
2013,UZB,Uzbekistan,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1382893.0
2013,_X ,"Areas, nes",Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",43694380.0
2013,AFG,Afghanistan,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,3722213.0
2013,DZA,Algeria,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,802915.0
2013,AGO,Angola,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,834257.0
2013,AUS,Australia,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,3922208.0
2013,AUT,Austria,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1648088.0
2013,BHR,Bahrain,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,49050.0
2013,BEL,Belgium,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,3041461.0
2013,MMR,Myanmar,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,24000.0
2013,BLR,Belarus,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,71244.0
2013,KHM,Cambodia,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,15660286.0
2013,CAN,Canada,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,2515319.0
2013,CHL,Chile,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,13551.0
2013,CHN,China,Export,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,618468.0
