Year,Trade_Flow,Partner_Country,HS_Code,Product_Description,Weight_KG,Value_USD
2020,Import,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,5841219.473,28797427.301
2020,Import,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1486977.853,9249383.946
2020,Export,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,5771043979.475
2020,Export,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,128607796.462,717544717.031
2020,Export,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",164665864.591,1764196663.133
2021,Import,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,1796742074.841
2021,Import,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,7096790.45,34754864.481
2021,Import,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",2098194.461,14112321.375
2021,Export,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,6304923224.261
2021,Export,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,129659711.957,662973952.11
2021,Export,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",0.0,1798111518.809
2022,Import,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,2382894326.638
2022,Import,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,8453978.284,50762133.629
2022,Import,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",4708497.745,35167052.429
2022,Export,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,7979123881.104
2022,Export,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,152500791.696,758520854.542
2022,Export,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",0.0,2026314169.623
2023,Import,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,2245333613.522
2023,Import,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,10743412.728,62584122.098
2023,Import,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",5171915.526,37219484.18
2023,Export,World,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,6463382524.355
2023,Export,World,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,127101786.552,780098296.341
2023,Export,World,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",0.0,1571395310.981
