Year,Trade_Flow,Partner,Partner_ISO,HS_Code,Commodity,Quantity_kg,Unit,Value_USD
2023,Import,World,W00,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,,2245333613.522
2023,Import,World,W00,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,10743412.728,kg,62584122.098
2023,Import,World,W00,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",5171915.526,kg,37219484.18
2023,Export,World,W00,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,,6463382524.355
2023,Export,World,W00,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,127101786.552,kg,780098296.341
2023,Export,World,W00,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",0.0,,1571395310.981
2024,Export,World,W00,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,kg,10040000000.0
2024,Export,World,W00,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,kg,2636094213.0
2025,Export,World,W00,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,kg,11290000000.0
2025,Export,World,W00,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,kg,3380000000.0
