Year,Trade_Flow,Partner_Country,HS_Code,Product_Description,Weight_KG,Value_USD
2015,Export,Japan,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,690833380.0
2015,Export,Kazakhstan,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,200.0
2015,Export,Jordan,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,7371965.0
2015,Export,Kenya,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,359256.0
2015,Export,Rep. of Korea,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,437549875.0
2015,Export,Kuwait,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,10901528.0
2015,Export,Lao People's Dem. Rep.,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,260676.0
2015,Export,Lebanon,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,12395475.0
2015,Export,Latvia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,1484211.0
2015,Export,Liberia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,246.0
2015,Export,Libya,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,1558625.0
2015,Export,Lithuania,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,8409022.0
2015,Export,"China, Macao SAR",3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,253119.0
2015,Export,Madagascar,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,320.0
2015,Export,Malaysia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,65330112.0
2015,Export,Mali,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,58397.0
2015,Export,Malta,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,404922.0
2015,Export,Mauritius,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,3558795.0
2015,Export,Mexico,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,107095344.0
2015,Export,"Other Asia, nes",3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,103990185.0
2015,Export,Morocco,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,3401152.0
2015,Export,Oman,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,2488766.0
2015,Export,Namibia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,184401.0
2015,Export,Nepal,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,317480.0
2015,Export,Netherlands,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,108422646.0
2015,Export,New Caledonia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,193391.0
2015,Export,New Zealand,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,13615569.0
2015,Export,Nicaragua,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,1109519.0
2015,Export,Nigeria,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,703397.0
2015,Export,Norway,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,1077028.0
2015,Export,N. Mariana Isds,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,426473.0
2015,Export,Pakistan,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,22269904.0
2015,Export,Panama,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,5997159.0
2015,Export,Papua New Guinea,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,854986.0
2015,Export,Peru,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,4861395.0
2015,Export,Philippines,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,72214124.0
2015,Export,Poland,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,13195713.0
2015,Export,Portugal,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,26393430.0
2015,Export,Qatar,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,7819330.0
2015,Export,Romania,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,4790447.0
2015,Export,Russian Federation,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,77230909.0
2015,Export,Saudi Arabia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,65632016.0
2015,Export,Senegal,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,87100.0
2015,Export,India,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,19842922.0
2015,Export,Singapore,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,85632959.0
2015,Export,Slovakia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,77130.0
2015,Export,Slovenia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,3640962.0
2015,Export,South Africa,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,2190650.0
2015,Export,Zimbabwe,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,1109805.0
2015,Export,Spain,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,64175800.0
2015,Export,Sudan,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,153970.0
2015,Export,Sweden,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,11978602.0
2015,Export,Switzerland,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,28115233.0
2015,Export,Syria,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,1300001.0
2015,Export,Thailand,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,181196715.0
2015,Export,Togo,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,119655.0
2015,Export,Trinidad and Tobago,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,1191837.0
2015,Export,United Arab Emirates,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,48639041.0
2015,Export,Tunisia,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,776961.0
2015,Export,Türkiye,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,6375830.0
2015,Export,Ukraine,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,10319704.0
2015,Export,Egypt,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,62362803.0
2015,Export,United Kingdom,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,112303736.0
2015,Export,United Rep. of Tanzania,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,352980.0
2015,Export,USA,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,812714850.0
2015,Export,Uruguay,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,3494298.0
2015,Export,Uzbekistan,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,145870.0
2015,Export,Venezuela,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,164595.0
2015,Export,"Areas, nes",3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0,46961730.0
2015,Export,Algeria,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,1411633.0
2015,Export,Angola,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,379925.0
2015,Export,Australia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,4977078.0
2015,Export,Bahamas,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,40425.0
2015,Export,Bahrain,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,2257.0
2015,Export,Belgium,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,2977498.0
2015,Export,Solomon Isds,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,6220.0
2015,Export,Cambodia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,14298193.0
2015,Export,Canada,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,2318135.0
2015,Export,Chile,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,1147101.0
2015,Export,China,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,4793935.0
2015,Export,Colombia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,1495.0
2015,Export,Croatia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,2270002.0
2015,Export,Cyprus,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,135030.0
2015,Export,Denmark,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,65748.0
2015,Export,Dominican Rep.,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,42488.0
2015,Export,Fiji,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,831090.0
2015,Export,France,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,1325165.0
2015,Export,Germany,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,22662761.0
2015,Export,Ghana,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,418017.0
2015,Export,Kiribati,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,2761.0
2015,Export,Greece,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,949926.0
2015,Export,Honduras,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,1599472.0
2015,Export,"China, Hong Kong SAR",1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,3724905.0
2015,Export,Hungary,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,78730.0
2015,Export,Indonesia,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,0.0,126358.0
